Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM1380056,0.192029601928318,0,0.221006051727657,0.0520566347873535,0,0.117344024306538,0,0,0,0,0.00258254765993372,0.0637157059048907,0.0815049580232641,0.0387185088038549,0,0.0936689512980198,0,0.017907404175629,0.119465611384541,0,0,0,0.113,0.102997766114899,1.0739289346468
GSM1380057,0.167027416483634,0,0.0722831822722972,0.110062570707515,0.08660903334493,0,0,0,0.103515105719555,0,0.053788847873091,0.0320468521559581,0.15266157714569,0.0106961455825786,0,0.112735348667294,0,0.0128578436619865,0.0857160763854709,0,0,0,0.992,-0.0518330422198318,1.10665419848912
GSM1380058,0.1212889730093,0,0.0954584859645491,0.0846645463696201,0,0.189885067573614,0,0,0,0,0.0539465610803185,0.0875601077982968,0.18544042792088,0.00998222412101582,0.00996521321509321,0.132488438044221,0,0,0.0293199549030923,0,0,0,0.909,-0.0215188628213434,1.10243250532178
GSM1380059,0.195335878991635,0,0.109517930934847,0.0740240804798979,0,0.185001660027657,0,0,0,0,0.0394141179080389,0.069823976374836,0.0976050737158157,0.039723999415347,0,0.087095086848635,0,0.0138789271730847,0.0885792681302058,0,0,0,0.937,-0.0277094665993197,1.10919058955649
GSM1380060,0.0997041101516572,0,0.11864000091562,0.0890022105441033,0,0.143408152795603,0,0.030522704381573,0,0,0.0822417023253135,0.0843171739851914,0.101607981114808,0,0,0.167642291028992,0,0,0.0807959420877266,0,0.00211773066941173,0,0.925,-0.0248743808146907,1.10279511428677
GSM1380061,0.224664801889243,0,0.0612630077828474,0.130427642966383,0,0,0,0,0.0671569256560102,0,0,0.0718055073049465,0.0950161367565077,0.00108177646824531,0,0.115237387175257,0,0,0.186798367277556,0,0,0.0465484467230044,0.861,-0.0136718904640028,1.10115178330872
GSM1380062,0.164447907045614,0,0.106365314018873,0.112871117735376,0,0.0967322153829615,0,0,0.0235637171246183,0,0.0813254094138551,0.0752695644444821,0.157385664199251,0.00848610264318351,0,0.118136131850954,0,0.0378544426851641,0.0175624134556668,0,0,0,0.953,-0.0326617611529217,1.11444124833616
GSM1380063,0.181498220440097,0,0.0630376920428997,0.167857122993598,0,0,0,0,0.0651344874613904,0,0,0.0552769847783405,0.112885886449539,0,0,0.217724242584127,0,0.0288998989920996,0.10768546425791,0,0,0,0.677,0.0107733171589099,1.07941942293902
GSM1380064,0.0536763241342625,0,0.0679444687445634,0.0201566052447496,0,0.220879419752259,0,0,0,0,0.0150265332972163,0.123449390377898,0.159282916398085,0.0930068547674802,0,0.0577122735389459,0,0,0.188865213744541,0,0,0,0.821,-0.00808457485744151,1.0857007237279
GSM1380065,0.22838937479981,0,0.126847421328131,0.134769025939229,0,0.0442570687759258,0,0,0.0515814850537264,0,0,0.0469385309588934,0.153732330717853,0,0,0.0978222052356745,0,0,0.115662557190758,0,0,0,0.574,0.0235017105124917,1.09652888915153
